Size,Mod,Processes,Time(us)
1000,7340033,1,119.599
1000,7340033,2,599.439
1000,7340033,4,176.354
1000,7340033,8,1082.27
10000,7340033,1,10764.4
10000,7340033,2,5089.28
10000,7340033,4,5723.23
10000,7340033,8,7585.11
100000,7340033,1,50611.3
100000,7340033,2,36636.7
100000,7340033,4,49637.8
100000,7340033,8,68674
1000,104857601,1,316.326
1000,104857601,2,142.312
1000,104857601,4,196.095
1000,104857601,8,5842.52
10000,104857601,1,3756.26
10000,104857601,2,3968.38
10000,104857601,8,7871.75
100000,104857601,1,39733.5
100000,104857601,2,45024.4
100000,104857601,4,48936.8
100000,104857601,8,62566.6
1000,469762049,1,170.588
1000,469762049,2,167.919
1000,469762049,4,835.699
1000,469762049,8,423.926
10000,469762049,1,3842.64
10000,469762049,2,6214.27
10000,469762049,4,7065.71
10000,469762049,8,7459.61
100000,469762049,1,36248.9
100000,469762049,2,38032.9
100000,469762049,4,47062.9
100000,469762049,8,64441.2
